19,12.00 - 12.30,David Dudal,25+5,The linear covariant gauge beyond perturbation theory
19,12.00 - 12.30,Viktor Riabov,25+5,Resonance production in Pb-Pb collisions measured with the ALICE experiments at the LHC
19,12.00 - 12.30,Pier Paolo Giardino,25+5,Single Higgs production at LHC as a probe for anomalous Higgs self coupling
19,12.00 - 12.30,Violetta Sagun,25+5,Neutron stars equation of state consistent with high-energy nuclear physics data
19,12.00 - 12.30,Larissa Bravina,25+5,TBA
19,12.30 - 13.00,Cristina Bedda,25+5,Measurements of D-meson production in p-Pb and Pb-Pb collisions with the ALICE detector at the LHC
19,12.30 - 13.00,Alexandre Gumberidze,25+5,Atomic physics with highly-charged heavy ions at GSI/FAIR
19,12.30 - 13.00,Christian Lang,25+5,Hadron Resonances from Lattice QCD
19,12.30 - 13.00,Samuel Louis Bein,25+5,"CMS Search for new physics in events with jets, b-tagged jets, and large missing transverse momentum in the all-hadronic channel at √s = 13 TeV"
19,12.30 - 13.00,Konstantin Androsov,25+5,Search for new physics in HH final state in CMS
19,13.30 - 14.00,Maria Vasileiou,25+5,Transverse momentum spectra and nuclear modification factors of identified charged hadrons in p-Pb and Pb-Pb collisions at √sNN  = 5.02 TeV with ALICE
19,13.30 - 14.00,ATLAS,25+5,Search for neutral and charged BSM Higgs Bosons with the ATLAS detector
19,13.30 - 13.50,ATLAS,15+5,Inclusive searches for squarks and gluinos with the ATLAS detector
19,13.30 - 13.55,Ahmed Bakry,20+5,Stiff self-interacting strings in high temperature phase of QCD.
19,13.30 - 14.00,Alexandros Gezerlis,25+5,Strongly interacting matter in neutron stars
19,13.30 - 14.00,Dorin  Poenaru,25+5,Alpha and cluster decay of few super heavy nuclei. Under barrier fusion to produce Super heavy Nuclei.
19,13.50 - 14.15,Athina Kourkoumeli-Charalambidi,20+5,Searches for electroweak production of supersymmetric gauginos and sleptons with the ATLAS detector
19,14.00 - 14.30,CHHANDA SAMANTA,25+5,Superheavy Nuclei to Hypernuclei: A Tribute to Walter Greiner
19,14.00 - 14.30,Agnieszka Łuszczak,25+5,"“Dipole model analysis of highest precision HERA data, including very low Q^2”"
19,14.00 - 14.30,Varvara Batozskaya,25+5,Measurements of the CP violating phase phi_s at LHCb
19,14.00 - 14.30,Luca Panizzi,25+5,Phenomenological scenarios to fit a possible excess in the di-muon + jets channel
19,14.15 - 14.45,Sergey Polikarpov,25+5,Recent CMS B physics results
19,14.30 - 15.00,Evgeni Kolomeitsev,25+5,Fluctuations in non-ideal pion gas with dynamically fixed particle number
19,14.30 - 15.00,Luigi Marchese,25+5,Measurement of $Z \rightarrow b\bar{b}$ cross section and search for Higgs-like particle produced in association with b quarks at CDF
19,14.30 - 15.00,Nabanita Dasgupta-Schubert,25+5,Predictability analysis of α decay formulae and the α partial half-lives of exotic nuclei.
19,15.00 - 15.30,Sergei Voloshin,25+5,Vorticity and global polarization in heavy ion collisions
19,15.00 - 15.30,Justin Andrew Williams,25+5,Search for Anomalous Quartic Photon Coupling at the LHC
19,16.00 - 17.30,,25+5,Culture event
21,05.30 - 06.00,John Ellis,25+5,What Physics Beyond the Standard Model?
21,06.00 - 06.30,Malgorzata Kazana,25+5,CMS Overview
21,06.30 - 07.00,ATLAS,25+5,ATLAS overview highlight talk
21,07.00 - 07.30,Yasmine Sarah Amhis,25+5,LHCb overview
21,08.00 - 08.30,Roman Kolevatov,25+5,Cosmological bounce and Genesis beyond Horndeski
21,08.00 - 08.30,Vladimir Gligorov,25+5,Flavourful roads to New Physics
21,08.00 - 08.30,Maria Chekhova,25+5,"Phase supersensitivity in an unbalanced SU(1,1) interferometer"
21,08.30 - 09.00,U L Andersen,25+5,Squeezed light enhanced sensing of a micro-mechanical oscillator
21,08.30 - 09.00,Victoria Volkova,25+5,On perturbations in Horndeski theories
